HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"SENTARA HALIFAX REGIONAL HOSPITAL","490013","VA","READM-30-COPD-HRRP","387","","1.0485","19.5","18.6","79","01-JUL-13","30-JUN-16"
"BON SECOURS MARYVIEW MEDICAL CENTER","490017","VA","READM-30-CABG-HRRP","Not Available","","0.9659","13.9","14.4","Too Few to Report","01-JUL-13","30-JUN-16"
"NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE","490019","VA","READM-30-HF-HRRP","287","","1.1117","22.8","20.5","72","01-JUL-13","30-JUN-16"
"TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON","670071","TX","READM-30-CABG-HRRP","52","","1.1514","15.2","13.2","12","01-JUL-13","30-JUN-16"
"METHODIST HOSPITAL FOR SURGERY","670073","TX","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"METHODIST HOSPITAL FOR SURGERY","670073","TX","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FITZGIBBON HOSPITAL","260142","MO","READM-30-HF-HRRP","98","","0.9538","17.1","17.9","14","01-JUL-13","30-JUN-16"
"FITZGIBBON HOSPITAL","260142","MO","READM-30-HIP-KNEE-HRRP","Not Available","","1.0685","4.1","3.9","Too Few to Report","01-JUL-13","30-JUN-16"
"BARNES-JEWISH WEST COUNTY HOSPITAL","260162","MO","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GOLDEN VALLEY MEMORIAL HOSPITAL","260175","MO","READM-30-HIP-KNEE-HRRP","Not Available","","0.9714","5.8","5.9","Too Few to Report","01-JUL-13","30-JUN-16"
"ST LUKES HOSPITAL","260179","MO","READM-30-AMI-HRRP","444","","0.9014","14.8","16.4","59","01-JUL-13","30-JUN-16"
"SAINT FRANCIS MEDICAL CENTER","260183","MO","READM-30-PN-HRRP","918","","0.8714","14.5","16.6","125","01-JUL-13","30-JUN-16"
"LAKE REGIONAL HEALTH SYSTEM","260186","MO","READM-30-HIP-KNEE-HRRP","Not Available","","0.8376","4.3","5.1","Too Few to Report","01-JUL-13","30-JUN-16"
"LEE'S SUMMIT MEDICAL CENTER","260190","MO","READM-30-HIP-KNEE-HRRP","190","","1.3182","5.7","4.3","16","01-JUL-13","30-JUN-16"
"LEE'S SUMMIT MEDICAL CENTER","260190","MO","READM-30-PN-HRRP","191","","1.0709","17.3","16.2","37","01-JUL-13","30-JUN-16"
"O U MEDICAL CENTER","370093","OK","READM-30-HF-HRRP","236","","1.0525","22.8","21.7","57","01-JUL-13","30-JUN-16"
"ALLIANCEHEALTH MIDWEST","370094","OK","READM-30-HF-HRRP","327","","0.9924","22.8","23.0","74","01-JUL-13","30-JUN-16"
"ALLIANCEHEALTH MIDWEST","370094","OK","READM-30-HIP-KNEE-HRRP","204","","1.0597","5.3","5.0","12","01-JUL-13","30-JUN-16"
"ALLIANCEHEALTH MIDWEST","370094","OK","READM-30-PN-HRRP","485","","1.0720","19.4","18.1","98","01-JUL-13","30-JUN-16"
"SOUTHWESTERN MEDICAL CENTER","370097","OK","READM-30-HIP-KNEE-HRRP","Not Available","","1.2034","6.7","5.6","Too Few to Report","01-JUL-13","30-JUN-16"
"CHOCTAW MEMORIAL HOSPITAL","370100","OK","READM-30-PN-HRRP","115","","1.0512","16.7","15.9","22","01-JUL-13","30-JUN-16"
"INTEGRIS GROVE HOSPITAL","370113","OK","READM-30-AMI-HRRP","Not Available","","1.0150","16.4","16.2","Too Few to Report","01-JUL-13","30-JUN-16"
"INTEGRIS GROVE HOSPITAL","370113","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INTEGRIS GROVE HOSPITAL","370113","OK","READM-30-COPD-HRRP","128","","0.9822","18.2","18.5","22","01-JUL-13","30-JUN-16"
"INTEGRIS GROVE HOSPITAL","370113","OK","READM-30-HIP-KNEE-HRRP","Not Available","","0.9353","3.5","3.8","Too Few to Report","01-JUL-13","30-JUN-16"
"COLLETON MEDICAL CENTER","420030","SC","READM-30-COPD-HRRP","182","","1.0353","19.0","18.3","37","01-JUL-13","30-JUN-16"
"GHS HILLCREST MEMORIAL HOSPITAL","420037","SC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GHS HILLCREST MEMORIAL HOSPITAL","420037","SC","READM-30-PN-HRRP","168","","1.0144","15.0","14.8","26","01-JUL-13","30-JUN-16"
"GHS  LAURENS COUNTY MEMORIAL HOSPITAL","420038","SC","READM-30-HIP-KNEE-HRRP","Not Available","","1.0021","3.7","3.6","Too Few to Report","01-JUL-13","30-JUN-16"
"PLEASANT VALLEY HOSPITAL","510012","WV","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"REYNOLDS MEMORIAL HOSPITAL","510013","WV","READM-30-HF-HRRP","117","","0.9333","19.8","21.2","19","01-JUL-13","30-JUN-16"
"MONONGALIA COUNTY GENERAL HOSPITAL","510024","WV","READM-30-HIP-KNEE-HRRP","519","","1.0639","4.4","4.1","24","01-JUL-13","30-JUN-16"
"THOMAS MEMORIAL HOSPITAL","510029","WV","READM-30-HIP-KNEE-HRRP","291","","1.2157","5.6","4.6","20","01-JUL-13","30-JUN-16"
"DAVIS MEDICAL CENTER","510030","WV","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"STONEWALL JACKSON MEMORIAL HOSPITAL","510038","WV","READM-30-COPD-HRRP","220","","1.1792","20.1","17.1","56","01-JUL-13","30-JUN-16"
"PRINCETON COMMUNITY HOSPITAL","510046","WV","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LOGAN REGIONAL MEDICAL CENTER","510048","WV","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WHEELING HOSPITAL","510050","WV","READM-30-HF-HRRP","436","","1.1271","23.5","20.9","110","01-JUL-13","30-JUN-16"
"CABELL HUNTINGTON HOSPITAL INC","510055","WV","READM-30-HIP-KNEE-HRRP","396","","0.8293","3.7","4.4","11","01-JUL-13","30-JUN-16"
"CAMDEN CLARK MEDICAL CENTER","510058","WV","READM-30-AMI-HRRP","451","","1.0014","16.2","16.1","73","01-JUL-13","30-JUN-16"
"HOUSTON METHODIST WEST HOSPITAL","670077","TX","READM-30-AMI-HRRP","170","","0.9798","15.5","15.8","25","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C","670087","TX","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C","670087","TX","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CRESCENT MEDICAL CENTER LANCASTER","670090","TX","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CRESCENT MEDICAL CENTER LANCASTER","670090","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WALNUT HILL MEDICAL CENTER","670092","TX","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC","670093","TX","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EMERUS COMMUNITY HOSPITAL","670095","TX","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EMERUS COMMUNITY HOSPITAL","670095","TX","READM-30-COPD-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BARNES-JEWISH ST PETERS HOSPITAL","260191","MO","READM-30-HIP-KNEE-HRRP","234","","1.0163","4.6","4.5","11","01-JUL-13","30-JUN-16"
"BARNES-JEWISH ST PETERS HOSPITAL","260191","MO","READM-30-PN-HRRP","505","","1.1507","20.7","18.0","113","01-JUL-13","30-JUN-16"
"ST MARY'S MEDICAL CENTER","260193","MO","READM-30-HIP-KNEE-HRRP","243","","1.1080","5.0","4.5","14","01-JUL-13","30-JUN-16"
"FULTON MEDICAL CENTER LLC","260209","MO","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INSPIRA MEDICAL CENTER VINELAND","310032","NJ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INSPIRA MEDICAL CENTER VINELAND","310032","NJ","READM-30-COPD-HRRP","745","","1.0553","22.7","21.5","173","01-JUL-13","30-JUN-16"
"ENGLEWOOD HOSPITAL AND MEDICAL CENTER","310045","NJ","READM-30-AMI-HRRP","391","","0.9530","14.9","15.6","55","01-JUL-13","30-JUN-16"
"ENGLEWOOD HOSPITAL AND MEDICAL CENTER","310045","NJ","READM-30-PN-HRRP","851","","1.0631","17.4","16.4","152","01-JUL-13","30-JUN-16"
"CONWAY MEDICAL CENTER","420049","SC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CONWAY MEDICAL CENTER","420049","SC","READM-30-HF-HRRP","310","","0.9644","20.7","21.5","62","01-JUL-13","30-JUN-16"
"CAROLINAS HOSPITAL SYSTEM MARION","420055","SC","READM-30-COPD-HRRP","117","","1.1074","19.4","17.5","30","01-JUL-13","30-JUN-16"
"LAKE CITY COMMUNITY HOSPITAL","420066","SC","READM-30-COPD-HRRP","Not Available","","0.9883","15.4","15.6","Too Few to Report","01-JUL-13","30-JUN-16"
"TRMC OF ORANGEBURG & CALHOUN","420068","SC","READM-30-HIP-KNEE-HRRP","Not Available","","0.8119","4.1","5.1","Too Few to Report","01-JUL-13","30-JUN-16"
"PALMETTO HEALTH TUOMEY HOSPITAL","420070","SC","READM-30-COPD-HRRP","395","","1.0004","19.0","19.0","75","01-JUL-13","30-JUN-16"
"PALMETTO HEALTH TUOMEY HOSPITAL","420070","SC","READM-30-HIP-KNEE-HRRP","258","","0.9804","4.8","4.9","12","01-JUL-13","30-JUN-16"
"PROVIDENCE HEALTH CENTER","450042","TX","READM-30-HF-HRRP","672","","0.9218","18.9","20.5","122","01-JUL-13","30-JUN-16"
"PROVIDENCE HEALTH CENTER","450042","TX","READM-30-PN-HRRP","965","","0.9544","15.3","16.0","145","01-JUL-13","30-JUN-16"
"PHOEBE SUMTER MEDICAL CENTER","110044","GA","READM-30-PN-HRRP","156","","0.9769","15.6","16.0","23","01-JUL-13","30-JUN-16"
"MEMORIAL HOSPITAL MIRAMAR","100285","FL","READM-30-HF-HRRP","71","","1.0867","24.9","22.9","23","01-JUL-13","30-JUN-16"
"PIEDMONT MOUNTAINSIDE HOSPITAL INC","110225","GA","READM-30-PN-HRRP","356","","0.9817","16.9","17.2","59","01-JUL-13","30-JUN-16"
"ST LUKE'S MAGIC VALLEY RMC","130002","ID","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CGH MEDICAL CENTER","140043","IL","READM-30-HF-HRRP","329","","0.8808","19.7","22.3","57","01-JUL-13","30-JUN-16"
"ADVOCATE TRINITY HOSPITAL","140048","IL","READM-30-COPD-HRRP","315","","1.0676","20.1","18.8","68","01-JUL-13","30-JUN-16"
"THOREK MEMORIAL HOSPITAL","140115","IL","READM-30-PN-HRRP","103","","1.0857","25.0","23.0","31","01-JUL-13","30-JUN-16"
"PRESENCE ST MARYS HOSPITAL","140155","IL","READM-30-PN-HRRP","410","","0.9499","16.8","17.7","66","01-JUL-13","30-JUN-16"
"ROSELAND COMMUNITY HOSPITAL","140068","IL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"IDAHO DOCTORS HOSPITAL","130067","ID","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ALTON MEMORIAL HOSPITAL","140002","IL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RALEIGH GENERAL HOSPITAL","510070","WV","READM-30-AMI-HRRP","171","","1.1039","16.7","15.2","35","01-JUL-13","30-JUN-16"
"BLUEFIELD REGIONAL MEDICAL CENTER","510071","WV","READM-30-PN-HRRP","202","","0.9540","17.7","18.5","33","01-JUL-13","30-JUN-16"
"SCOTT & WHITE HOSPITAL-ROUND ROCK","670034","TX","READM-30-CABG-HRRP","Not Available","","1.0121","13.3","13.2","Too Few to Report","01-JUL-13","30-JUN-16"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND","670068","TX","READM-30-HIP-KNEE-HRRP","286","","1.1293","4.5","3.9","15","01-JUL-13","30-JUN-16"
"CRESCENT MEDICAL CENTER LANCASTER","670090","TX","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CUMBERLAND SURGICAL HOSPITAL","670112","TX","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CARILION FRANKLIN MEMORIAL HOSPITAL","490089","VA","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTHSIDE COMMUNITY HOSPITAL, INC","490090","VA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9397","3.6","3.8","Too Few to Report","01-JUL-13","30-JUN-16"
"CENTRA  HEALTH, INC","490021","VA","READM-30-AMI-HRRP","980","","1.0349","16.5","16.0","164","01-JUL-13","30-JUN-16"
"CENTRA  HEALTH, INC","490021","VA","READM-30-CABG-HRRP","219","","0.9168","12.5","13.7","25","01-JUL-13","30-JUN-16"
"FAUQUIER HOSPITAL","490023","VA","READM-30-COPD-HRRP","319","","1.1216","21.5","19.2","77","01-JUL-13","30-JUN-16"
"MEDICAL COLLEGE OF VIRGINIA HOSPITALS","490032","VA","READM-30-HIP-KNEE-HRRP","412","","1.1281","5.3","4.7","24","01-JUL-13","30-JUN-16"
"WARREN MEMORIAL HOSPITAL","490033","VA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HACKENSACK-UMC MOUNTAINSIDE","310054","NJ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","310057","NJ","READM-30-HIP-KNEE-HRRP","Not Available","","1.1122","5.1","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"ST LUKE'S WARREN HOSPITAL","310060","NJ","READM-30-COPD-HRRP","289","","1.0270","21.1","20.6","63","01-JUL-13","30-JUN-16"
"ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS","310064","NJ","READM-30-AMI-HRRP","780","","0.9692","16.2","16.7","124","01-JUL-13","30-JUN-16"
"ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS","310064","NJ","READM-30-HIP-KNEE-HRRP","2303","","0.8734","4.1","4.7","92","01-JUL-13","30-JUN-16"
"INSPIRA MEDICAL CENTER ELMER","310069","NJ","READM-30-COPD-HRRP","235","","1.0770","21.1","19.6","55","01-JUL-13","30-JUN-16"
"INSPIRA MEDICAL CENTER ELMER","310069","NJ","READM-30-HIP-KNEE-HRRP","Not Available","","0.8818","3.8","4.4","Too Few to Report","01-JUL-13","30-JUN-16"
"MONMOUTH MEDICAL CENTER","310075","NJ","READM-30-COPD-HRRP","301","","0.9859","19.9","20.2","59","01-JUL-13","30-JUN-16"
"MONMOUTH MEDICAL CENTER","310075","NJ","READM-30-HF-HRRP","472","","0.9286","19.8","21.3","89","01-JUL-13","30-JUN-16"
"LAWRENCE MEDICAL CENTER","010059","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LAWRENCE MEDICAL CENTER","010059","AL","READM-30-PN-HRRP","145","","0.9401","16.9","18.0","21","01-JUL-13","30-JUN-16"
"WIREGRASS MEDICAL CENTER","010062","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MEDICAL CENTER BARBOUR","010069","AL","READM-30-PN-HRRP","Not Available","","0.9346","13.3","14.2","Too Few to Report","01-JUL-13","30-JUN-16"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-HF-HRRP","Not Available","","0.8897","17.2","19.3","Too Few to Report","01-JUL-13","30-JUN-16"
"ATHENS LIMESTONE HOSPITAL","010079","AL","READM-30-COPD-HRRP","324","","1.0680","19.5","18.3","68","01-JUL-13","30-JUN-16"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","READM-30-AMI-HRRP","Not Available","","0.9753","13.6","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"NORTHWEST MEDICAL CENTER","010086","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PROVIDENCE HOSPITAL","010090","AL","READM-30-COPD-HRRP","430","","1.0045","18.1","18.0","78","01-JUL-13","30-JUN-16"
"PROVIDENCE HOSPITAL","010090","AL","READM-30-HF-HRRP","630","","0.9673","19.7","20.3","122","01-JUL-13","30-JUN-16"
"HALE COUNTY HOSPITAL","010095","AL","READM-30-COPD-HRRP","Not Available","","0.9490","18.1","19.0","Too Few to Report","01-JUL-13","30-JUN-16"
"ELMORE COMMUNITY HOSPITAL","010097","AL","READM-30-PN-HRRP","Not Available","","0.9868","15.1","15.3","Too Few to Report","01-JUL-13","30-JUN-16"
"THOMAS HOSPITAL","010100","AL","READM-30-CABG-HRRP","203","","1.0327","12.9","12.4","27","01-JUL-13","30-JUN-16"
"CITIZENS BAPTIST MEDICAL CENTER","010101","AL","READM-30-HF-HRRP","102","","1.0334","20.6","19.9","23","01-JUL-13","30-JUN-16"
"GRANDVIEW MEDICAL CENTER","010104","AL","READM-30-HIP-KNEE-HRRP","584","","1.0987","4.7","4.2","29","01-JUL-13","30-JUN-16"
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","READM-30-AMI-HRRP","Not Available","","0.9807","17.7","18.0","Too Few to Report","01-JUL-13","30-JUN-16"
"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","010112","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MOBILE INFIRMARY MEDICAL CENTER","010113","AL","READM-30-CABG-HRRP","112","","0.9368","12.4","13.2","12","01-JUL-13","30-JUN-16"
"MOBILE INFIRMARY MEDICAL CENTER","010113","AL","READM-30-HIP-KNEE-HRRP","647","","1.0225","4.3","4.2","28","01-JUL-13","30-JUN-16"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","010118","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MONROE COUNTY HOSPITAL","010120","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-HF-HRRP","65","","1.0571","22.4","21.2","18","01-JUL-13","30-JUN-16"
"NORTH BALDWIN INFIRMARY","010129","AL","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST VINCENT'S ST CLAIR","010130","AL","READM-30-HF-HRRP","126","","1.0063","21.9","21.8","28","01-JUL-13","30-JUN-16"
"ST VINCENT'S ST CLAIR","010130","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CRESTWOOD MEDICAL CENTER","010131","AL","READM-30-AMI-HRRP","197","","0.9809","14.8","15.1","28","01-JUL-13","30-JUN-16"
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BROOKWOOD BAPTIST MEDICAL CENTER","010139","AL","READM-30-HF-HRRP","498","","0.9797","19.7","20.1","97","01-JUL-13","30-JUN-16"
"RMC JACKSONVILLE","010146","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EVERGREEN MEDICAL CENTER","010148","AL","READM-30-PN-HRRP","144","","1.0612","15.8","14.9","26","01-JUL-13","30-JUN-16"
"BAPTIST MEDICAL CENTER EAST","010149","AL","READM-30-PN-HRRP","328","","0.9996","16.5","16.5","54","01-JUL-13","30-JUN-16"
"SHOALS HOSPITAL","010157","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RUSSELLVILLE HOSPITAL","010158","AL","READM-30-PN-HRRP","240","","1.1105","17.1","15.4","47","01-JUL-13","30-JUN-16"
"JACK HUGHSTON MEMORIAL HOSPITAL","010168","AL","READM-30-HF-HRRP","Not Available","","1.0160","19.5","19.2","Too Few to Report","01-JUL-13","30-JUN-16"
"ATMORE COMMUNITY HOSPITAL","010169","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-CABG-HRRP","275","","1.0499","13.3","12.7","38","01-JUL-13","30-JUN-16"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-AMI-HRRP","395","","1.0417","15.3","14.7","63","01-JUL-13","30-JUN-16"
"ST VINCENT'S EAST","010011","AL","READM-30-COPD-HRRP","293","","0.9764","19.0","19.5","54","01-JUL-13","30-JUN-16"
"ST VINCENT'S EAST","010011","AL","READM-30-HIP-KNEE-HRRP","216","","1.1230","5.0","4.5","13","01-JUL-13","30-JUN-16"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-HF-HRRP","723","","1.0221","23.0","22.5","168","01-JUL-13","30-JUN-16"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-HF-HRRP","610","","1.0895","21.6","19.8","137","01-JUL-13","30-JUN-16"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-HIP-KNEE-HRRP","Not Available","","0.9080","4.4","4.8","Too Few to Report","01-JUL-13","30-JUN-16"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-CABG-HRRP","597","","0.8535","11.3","13.2","63","01-JUL-13","30-JUN-16"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-HF-HRRP","1828","","0.9730","21.2","21.8","386","01-JUL-13","30-JUN-16"
